Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8044692737430168,0.7746478873239436,0.7432432432432432,0.7586206896551724
Decision Tree,0.7597765363128491,0.7066666666666667,0.7162162162162162,0.7114093959731543
Random Forest,0.8379888268156425,0.8260869565217391,0.7702702702702703,0.7972027972027972
